actor_id,actor_name,rank,Label
829,尼古拉·科斯特-瓦尔道,9,actor
830,阿尔菲·艾伦,9,actor
831,刘佩琦,9,actor
832,赵本山,9,actor
833,丁海峰,9,actor
834,秦岚,9,actor
835,窦骁,9,actor
836,袁泉,9,actor
837,许晴,9,actor
838,钮承泽,9,actor
839,汤米·弗拉纳根,9,actor
840,安藤政信,9,actor
841,赵亮,9,actor
842,泰瑞斯·吉布森,9,actor
843,陈伟霆,9,actor
844,亚历克·吉尼斯,9,actor
845,布拉德·加内特,9,actor
846,秦海璐,9,actor
847,丹尼斯·奎德,9,actor
848,华莱士·肖恩,9,actor
849,郭晓东,9,actor
850,杰夫·布里吉斯,9,actor
851,木村元,9,actor
852,凯斯·大卫,9,actor
853,罗伯特·克耐普,9,actor
854,方平,9,actor
855,汤镇业,9,actor
856,竹中直人,9,actor
857,恭硕良,9,actor
858,周俊伟,9,actor
859,雪野五月,9,actor
860,乌多·基尔,9,actor
861,卢克·伊万斯,9,actor
862,平田昭彦,9,actor
863,熊黛林,9,actor
864,聂远,9,actor
865,秦煌,9,actor
866,李·佩斯,9,actor
867,多米尼克·韦斯特,9,actor
868,托尼·贾,9,actor
869,诺亚·泰勒,9,actor
870,贾斯汀·汀布莱克,9,actor
871,林更新,9,actor
872,陈宝莲,9,actor
873,林志玲,9,actor
874,尼克·弗罗斯特,9,actor
875,克里斯·奥多德,9,actor
876,欧锦棠,9,actor
877,江一燕,9,actor
878,谭炳文,9,actor
879,西恩·威廉·斯科特,9,actor
880,黄锦燊,9,actor
881,关咏荷,9,actor
882,吴辰君,9,actor
883,罗杰·摩尔,9,actor
884,杰西卡·阿尔芭,9,actor
885,马克·罗斯顿,8,actor
886,蒋雯丽,8,actor
887,凯特·温丝莱特,8,actor
888,蒂莫西·柴勒梅德,8,actor
889,凯文·麦克纳利,8,actor
890,米凯·麦高万,8,actor
891,拉瑞恩·纽曼,8,actor
892,雅克·贝汉,8,actor
893,珍妮·斯蕾特,8,actor
894,塔莉娅·夏尔,8,actor
895,卢燕,8,actor
896,鲁伯特·格林特,8,actor
897,汤姆·费尔顿,8,actor
898,邦妮·怀特,8,actor
899,布拉德·道里夫,8,actor
900,谭卓,8,actor
901,岳小军,8,actor
902,伊尔凡·可汗,8,actor
903,拉菲·斯波,8,actor
904,王柏杰,8,actor
905,詹妮弗·加纳,8,actor
906,艾德里安·布洛迪,8,actor
907,罗宾·威廉姆斯,8,actor
908,詹姆斯·厄尔·琼斯,8,actor
909,马赫沙拉·阿里,8,actor
910,归亚蕾,8,actor
911,艾丽·范宁,8,actor
912,马克斯·马蒂尼,8,actor
913,克里·约翰逊,8,actor
914,萨姆·沃辛顿,8,actor
915,派翠西娅·克拉克森,8,actor
916,杰夫·高布伦,8,actor
917,乔·佩西,8,actor
918,凯文·杜兰,8,actor
919,亨利·伯格曼,8,actor
920,格温妮斯·帕特洛,8,actor
921,雷·利奥塔,8,actor
922,蒂姆·布雷克·尼尔森,8,actor
923,林原惠美,8,actor
924,黛安·韦斯特,8,actor
925,艾伦·阿金,8,actor
926,山崎努,8,actor
927,本·门德尔森,8,actor
928,詹姆斯·克伦威尔,8,actor
929,寺岛进,8,actor
930,米西·派勒,8,actor
